City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
482,Estepona,ES,67.82,overcast clouds,36.4276,-5.1459,Hotel H10 Estepona Palace
487,Moose Factory,CA,53.58,broken clouds,51.2585,-80.6094,Moosonee Lilypad
495,Komsomolskiy,UZ,63.32,clear sky,40.4272,71.7189,Ikathouse
496,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
498,El Carmen,CO,69.39,overcast clouds,8.5106,-73.4478,Hotel La Casona
500,Kaeo,NZ,66.33,overcast clouds,-35.1,173.7833,Bushido Lodge
503,Zhangye,CN,64.87,overcast clouds,38.9342,100.4517,Zhangye Lvzhou Holiday Inn
507,San Vicente,AR,55.33,overcast clouds,-26.6167,-54.1333,Complejo Turístico Farelluk
513,Camana,PE,60.69,broken clouds,-16.6228,-72.7111,Hostal Morales
514,Ambilobe,MG,67.89,clear sky,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
516,Almeria,ES,64.44,overcast clouds,37.1667,-2.3333,Casa Rural El Laurel
517,Colares,PT,64.76,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
518,Rongcheng,CN,66.69,overcast clouds,30.634,117.8517,Shell Shandong Liaocheng Development District South Huangshan Road Hotel
522,Pitsunda,GE,53.78,clear sky,43.1592,40.3378,Hotel FREEDOM
527,Takestan,IR,57.58,overcast clouds,36.0696,49.6959,baghdadi hotelهتل و رستوران بغدادی
530,Kingsport,US,63.55,thunderstorm,36.5484,-82.5618,MeadowView Conference Resort & Convention Center
531,Muros,ES,57.09,clear sky,42.7762,-9.0603,Apartment Av. Castelao
533,Patitirion,GR,65.37,broken clouds,39.15,23.8667,Pension Votsi
535,Betsiamites,CA,54.0,overcast clouds,48.9413,-68.646,Pourvoirie du lac des îles
538,Wladyslawowo,PL,50.94,few clouds,54.7909,18.4009,Gwiazda Morza Resort SPA&SPORT
554,Filadelfia,US,63.97,scattered clouds,39.9523,-75.1638,"The Ritz-Carlton, Philadelphia"
555,Harstad,NO,54.79,clear sky,68.799,16.5293,Clarion Collection Hotel Arcticus
556,Ketchikan,US,57.67,moderate rain,55.3422,-131.6461,Snow's Cove Lodge
557,Jiuquan,CN,65.5,overcast clouds,39.7432,98.5174,Jiuquan Hotel
558,Halifax,CA,60.8,overcast clouds,44.6453,-63.5724,Hotel Halifax
563,Port Augusta,AU,63.0,overcast clouds,-32.5,137.7667,Majestic Oasis Apartments
566,General Roca,AR,58.62,clear sky,-39.0333,-67.5833,Hotel El Recreo
567,Sechura,PE,63.07,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
568,Peniche,PT,62.11,clear sky,39.3558,-9.3811,Hotel Star inn Peniche
569,Chimbote,PE,60.58,broken clouds,-9.0853,-78.5783,Hotel Briliá
573,Andenes,NO,53.58,overcast clouds,69.3143,16.1194,Hotell Marena
574,Moron,AR,62.01,broken clouds,-34.6534,-58.6198,Hotel Morón
576,Margate,GB,53.31,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
582,Worthington,US,63.59,few clouds,40.0931,-83.018,Sheraton Suites Columbus Worthington
588,Rawson,AR,53.33,clear sky,-43.3002,-65.1023,Hosteria Sampedro
590,Jipijapa,EC,65.7,overcast clouds,-1.3333,-80.5833,Hotel Los Ceibos Jipijapa
591,Redondela,ES,60.26,clear sky,42.2834,-8.6096,Hotel Santo Apóstolo
592,Zhezkazgan,KZ,64.38,moderate rain,47.8043,67.7144,Hotel Zumrat
593,Taybad,IR,69.75,clear sky,34.74,60.7756,لی پوش jean center
594,San Jeronimo,PE,52.16,overcast clouds,-11.9472,-75.2829,Tuki Llajta Pueblo Bonito Eco Lodge
599,Makat,KZ,58.39,few clouds,47.6469,53.3463,Umit
600,Joshimath,IN,58.95,clear sky,30.5667,79.5667,Shivalik Camps & Resort
602,Oudtshoorn,ZA,53.96,overcast clouds,-33.5907,22.2014,Earthbound Guest House
603,Kurilsk,RU,61.34,broken clouds,45.2333,147.8833,Hotel Ostrov
606,Sao Joao Da Barra,BR,69.89,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
612,Antofagasta,CL,58.28,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
622,Tuatapere,NZ,62.2,broken clouds,-46.1333,167.6833,Ron and Tony's Bed & Breakfast
625,Vsetaty,CZ,55.8,broken clouds,50.2819,14.593,Zámek Liblice - Konferenční centrum AV ČR
627,Northam,GB,58.24,overcast clouds,51.0333,-4.2167,Durrant House Hotel
630,Watsa,CD,61.79,broken clouds,3.0372,29.5355,Hôtel Le Pacifique
634,Chemnitz,DE,50.52,overcast clouds,50.6667,12.75,Rosental
639,Aksu,CN,66.83,clear sky,41.1231,80.2644,Pudong Holiday Hotel
641,Forio,IT,67.82,overcast clouds,40.7342,13.8646,Hotel Terme Providence
645,Pisco,PE,60.85,smoke,-13.7,-76.2167,Hotel San Isidro Oficial
651,Surdulica,RS,56.52,overcast clouds,42.6906,22.1708,Apartmani Park 2016
652,Hengshui,CN,69.82,clear sky,37.7322,115.7011,Eaka Hotel Hengshui Railway Station Branch
656,Bay Roberts,CA,53.35,broken clouds,47.5999,-53.2648,Stonewall Inn
658,Preston,GB,56.89,overcast clouds,53.7667,-2.7167,Legacy Preston International Hotel - managed by Legacy Hotels and Resorts
660,Sao Jose Dos Campos,BR,59.49,scattered clouds,-23.1794,-45.8869,Astro Hotel
662,Tibati,CM,66.2,moderate rain,6.4667,12.6333,Tibati Hotel
663,Kohima,IN,64.67,overcast clouds,25.6667,94.1167,The Homestay
667,Vallenar,CL,60.67,broken clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
669,Juneau,US,55.22,moderate rain,58.3019,-134.4197,"Baranof Downtown, BW Signature Collection"
670,Plainview,US,67.75,clear sky,40.7765,-73.4673,Four Points by Sheraton Melville Long Island
676,Catamarca,AR,60.58,few clouds,-28.4696,-65.7852,Amerian Catamarca Park Hotel
677,Valley City,US,59.52,clear sky,46.9233,-98.0032,AmericInn by Wyndham Valley City Conference Center
678,Potsdam,DE,55.02,overcast clouds,52.3989,13.0657,Dorint Hotel Sanssouci Berlin/Potsdam
680,Nome,US,52.11,broken clouds,64.5011,-165.4064,Dredge 7 Inn
682,Lerik,AZ,53.24,broken clouds,38.7726,48.4128,9 QARDAŞ
684,Liverpool,GB,56.82,broken clouds,53.4106,-2.9779,Premier Inn Liverpool City Centre (Moorfields) hotel
686,Saint-Ambroise,CA,53.58,overcast clouds,48.5501,-71.3324,Motel Saint-Ambroise
692,Pohrebyshche,UA,53.1,overcast clouds,49.4864,29.2636,Hotelʹ
693,Carman,CA,59.34,broken clouds,49.4992,-98.0016,"Bell Aura Bed, Breakfast & Bistro"
694,Ucluelet,CA,66.51,few clouds,48.9329,-125.5528,Black Rock Oceanfront Resort
695,Date,JP,65.8,broken clouds,42.4681,140.8681,静香荘
697,Hohhot,CN,55.69,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
704,Skibbereen,IE,60.12,overcast clouds,51.55,-9.2667,The West Cork Hotel
706,Argalasti,GR,64.42,overcast clouds,39.2333,23.2167,Kalama Hotel apartments
707,Penzance,GB,57.88,overcast clouds,50.1186,-5.5371,Artist Residence Penzance
708,Vila Franca Do Campo,PT,67.19,light rain,37.7167,-25.4333,Pestana Bahia Praia
709,Hualmay,PE,61.59,scattered clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
710,Altay,CN,58.46,clear sky,47.8667,88.1167,Jinqiao Hotel
714,Gambela,ET,69.6,light rain,8.25,34.5833,Solomon Debebe Hotel
715,Balkhash,KZ,62.85,broken clouds,46.844,74.9804,Family
